Location,AQI,PM2.5,PM10,NO2,SO2,co
26 Jan92,27 Jan91,28 Jan88,29 Jan86,30 Jan73,31 Jan76,1 Feb82
2 Feb75,3 Feb89,4 Feb82,5 Feb83,6 Feb80,7 Feb75,8 Feb85
9 Feb80,10 Feb71,11 Feb70,12 Feb63,13 Feb60,14 Feb49,15 Feb59
16 Feb64,17 Feb59,18 Feb59,19 Feb63,20 Feb61,21 Feb56,22 Feb53
23 Feb54,24 Feb56,25 Feb52,26 Feb56,27 Feb-,28 Feb-,1 Mar-
29 Dec-,30 Dec-,31 Dec-,1 Jan78,2 Jan78,3 Jan88,4 Jan90
5 Jan84,6 Jan90,7 Jan94,8 Jan86,9 Jan89,10 Jan83,11 Jan80
12 Jan94,13 Jan80,14 Jan77,15 Jan104,16 Jan88,17 Jan90,18 Jan87
19 Jan77,20 Jan69,21 Jan74,22 Jan72,23 Jan74,24 Jan79,25 Jan85
26 Jan92,27 Jan91,28 Jan88,29 Jan86,30 Jan73,31 Jan76,1 Feb82
